Налог број:;;;;;;;1;;;;;;;;;;;;;;;;;;
Датум:;;;;31.12.2026;;;;;;;;;;;;;;;;;;;;;
Опис:;;;;;;;;;;;;;;;;;;;;;;;;;
;Р.Бр.;;Број;;;Опис;;Сметка;;;Вид док.;;Партнер;;Должи;;;;Побарува;;Состојба;;;;Датум
;1;рамка уни банка 2025 минусно салдо;;;;;;2620;;Салдо;;УНИ БАНКА;;0;;;;-1.370.773;;1.370.773;;;;02.01.2026;
;2;рамка уни банка 2025 минусно салдо;;;;;;1000;;Салдо;;УНИ БАНКА;;0;;;;1.370.773;;0;;;;02.01.2026;
;;;;;;;;;;;;;;;;;Должи:;;;;;0,00;;;
;;;;;;;;;;;;;;;;;Побарува:;;;;;0,00;;;
;;;;;;;;;;;;;;;;Салдо:;;;;;;0,00;;;
;;;;;;;;;ЕЛЕКТРО МЕ-НА ДООЕЛ, Ул.Благоја Стефковски бр. 111А, СКОПЈЕ-1000, MK4027011514030;;;;;;;;;;;;;;1/1;;
