Налог број:;;;;;;;7002;;;;;;;;;;;;;;;;;;
Датум:;;;;28.02.2026;;;;;;;;;;;;;;;;;;;;;
Опис:;;;;;;;;;;;;;;;;;;;;;;;;;
;Р.Бр.;;Број;;;Опис;;Сметка;;;Вид док.;;Партнер;;Должи;;;;Побарува;;Состојба;;;;Датум
;1;0044;;;СК-0399-АО;;;1020;;сметка;;;;0;;;;1.000;;-1.000;;;;02.02.2026;
;2;;;;;;;4032;;сметка;;;;847;;;;0;;-153;;;;02.02.2026;
;3;;;;;;;130018;;сметка;;;;153;;;;0;;0;;;;02.02.2026;
;4;0022;;;СК-7749-АК;;;1020;;сметка;;;;0;;;;1.500;;-1.500;;;;02.02.2026;
;5;;;;;;;4032;;сметка;;;;1.271;;;;0;;-229;;;;02.02.2026;
;6;;;;;;;130018;;сметка;;;;229;;;;0;;0;;;;02.02.2026;
;7;0087;;;СК-0399-АО;;;1020;;сметка;;;;0;;;;1.000;;-1.000;;;;09.02.2026;
;8;;;;;;;4032;;сметка;;;;847;;;;0;;-153;;;;09.02.2026;
;9;;;;;;;130018;;сметка;;;;153;;;;0;;0;;;;09.02.2026;
;10;0194;;;;;;1020;;сметка;;;;0;;;;2.000;;-2.000;;;;10.02.2026;
;11;;;;;;;4032;;сметка;;;;1.695;;;;0;;-305;;;;10.02.2026;
;12;;;;;;;130018;;сметка;;;;305;;;;0;;0;;;;10.02.2026;
;13;0055;;;СК-8813-АВ;;;1020;;сметка;;;;0;;;;2.300;;-2.300;;;;11.02.2026;
;14;;;;;;;4032;;сметка;;;;1.949;;;;0;;-351;;;;11.02.2026;
;15;;;;;;;130018;;сметка;;;;351;;;;0;;0;;;;11.02.2026;
;16;0143;;;СК-5517-АГ;;;1020;;сметка;;;;0;;;;2.000;;-2.000;;;;11.02.2026;
;17;;;;;;;4032;;сметка;;;;1.695;;;;0;;-305;;;;11.02.2026;
;18;;;;;;;130018;;сметка;;;;305;;;;0;;0;;;;11.02.2026;
;19;0183;;;СК-0399-АО;;;1020;;сметка;;;;0;;;;1.000;;-1.000;;;;12.02.2026;
;20;;;;;;;4032;;сметка;;;;847;;;;0;;-153;;;;12.02.2026;
;21;;;;;;;130018;;сметка;;;;153;;;;0;;0;;;;12.02.2026;
;22;0033;;;СК-3811-БУ;;;1020;;сметка;;;;0;;;;2.668;;-2.668;;;;12.02.2026;
;23;;;;;;;4032;;сметка;;;;2.261;;;;0;;-407;;;;12.02.2026;
;24;;;;;;;130018;;сметка;;;;407;;;;0;;0;;;;12.02.2026;
;25;0023;;;СК-7749-АК;;;1020;;сметка;;;;0;;;;1.000;;-1.000;;;;17.02.2026;
;26;;;;;;;4032;;сметка;;;;847;;;;0;;-153;;;;17.02.2026;
;27;;;;;;;130018;;сметка;;;;153;;;;0;;0;;;;17.02.2026;
;28;0015;;;СК-3811-БУ;;;1020;;сметка;;;;0;;;;3.590;;-3.590;;;;17.02.2026;
;29;;;;;;;4032;;сметка;;;;3.042;;;;0;;-548;;;;17.02.2026;
;30;;;;;;;130018;;сметка;;;;548;;;;0;;0;;;;17.02.2026;
;31;0054;;;СК-0399-АО;;;1020;;сметка;;;;0;;;;2.000;;-2.000;;;;17.02.2026;
;32;;;;;;;4032;;сметка;;;;1.695;;;;0;;-305;;;;17.02.2026;
;33;;;;;;;130018;;сметка;;;;305;;;;0;;0;;;;17.02.2026;
;34;0437;;;СК-0399-АО;;;1020;;сметка;;;;0;;;;2.000;;-2.000;;;;26.02.2026;
;35;;;;;;;4032;;сметка;;;;1.695;;;;0;;-305;;;;26.02.2026;
;36;;;;;;;130018;;сметка;;;;305;;;;0;;0;;;;26.02.2026;
;;;;;;;;;;;;;;;;;Должи:;;;;;22.058,00;;;
;;;;;;;;;;;;;;;;;Побарува:;;;;;22.058,00;;;
;;;;;;;;;;;;;;;;Салдо:;;;;;;0,00;;;
;;;;;;;;;ЕЛЕКТРО МЕ-НА ДООЕЛ, Ул.Благоја Стефковски бр. 111А, СКОПЈЕ-1000, MK4027011514030;;;;;;;;;;;;;;1/1;;
