Налог број:;;;;;;;6001;;;;;;;;;;;;;;;;;;
Датум:;;;;31.01.2026;;;;;;;;;;;;;;;;;;;;;
Опис:;;;;Кирија;;;;;;;;;;;;;;;;;;;;;
;Р.Бр.;;Број;;;Опис;;Сметка;;;Вид док.;;Партнер;;Должи;;;;Побарува;;Состојба;;;;Датум
;1;01 и 02 2026;;;;;;2201;;Рек.за закуп;;Ѓорги Тодоров;;0;;;;61.500;;-61.500;;;;16.03.2026;
;2;01 и 02 2026;;;;;;2353;;Рек.за закуп;;;;0;;;;6.082;;-67.582;;;;16.03.2026;
;3;01 и 02 2026;;;;;;4140;;Рек.за закуп;;;;67.582;;;;0;;0;;;;16.03.2026;
;;;;;;;;;;;;;;;;;Должи:;;;;;67.582,00;;;
;;;;;;;;;;;;;;;;;Побарува:;;;;;67.582,00;;;
;;;;;;;;;;;;;;;;Салдо:;;;;;;0,00;;;
;;;;;;;;;ЕЛЕКТРО МЕ-НА ДООЕЛ, Ул.Благоја Стефковски бр. 111А, СКОПЈЕ-1000, MK4027011514030;;;;;;;;;;;;;;1/1;;
