Налог број:;;;;;;;8002;;;;;;;;;;;;;;;;;;
Датум:;;;;28.02.2026;;;;;;;;;;;;;;;;;;;;;
Опис:;;;;;;;;;;;;;;;;;;;;;;;;;
;Р.Бр.;;Број;;;Опис;;Сметка;;;Вид док.;;Партнер;;Должи;;;;Побарува;;Состојба;;;;Датум
;1;0015;;;;;;1020;;Сметкопотврда;;;;0;;;;400;;-400;;;;09.02.2026;
;2;;;;;;;4011;;Сметкопотврда;;;;339;;;;0;;-61;;;;09.02.2026;
;3;;;;;;;130018;;Сметкопотврда;;;;61;;;;0;;0;;;;09.02.2026;
;4;0004;;;;;;1020;;Сметкопотврда;;;;0;;;;620;;-620;;;;10.02.2026;
;5;;;;;;;4000;;Сметкопотврда;;;;525;;;;0;;-95;;;;10.02.2026;
;6;;;;;;;130018;;Сметкопотврда;;;;95;;;;0;;0;;;;10.02.2026;
;7;181901;;;;;;1020;;Сметкопотврда;;;;0;;;;70;;-70;;;;12.02.2026;
;8;;;;;;;4141;;Сметкопотврда;;;;70;;;;0;;0;;;;12.02.2026;
;9;0005;;;;;;1020;;Сметкопотврда;;;;0;;;;700;;-700;;;;13.02.2026;
;10;;;;;;;4001;;Сметкопотврда;;;;593;;;;0;;-107;;;;13.02.2026;
;11;;;;;;;130018;;Сметкопотврда;;;;107;;;;0;;0;;;;13.02.2026;
;12;0002;;;миење коли;;;1020;;Сметкопотврда;;;;0;;;;7.150;;-7.150;;;;16.02.2026;
;13;;;;;;;4190;;Сметкопотврда;;;;6.060;;;;0;;-1.090;;;;16.02.2026;
;14;;;;;;;130018;;Сметкопотврда;;;;1.090;;;;0;;0;;;;16.02.2026;
;15;0112;;;;;;1020;;Сметкопотврда;;;;0;;;;415;;-415;;;;18.02.2026;
;16;;;;;;;4001;;Сметкопотврда;;;;352;;;;0;;-63;;;;18.02.2026;
;17;;;;;;;130018;;Сметкопотврда;;;;63;;;;0;;0;;;;18.02.2026;
;18;0007;;;миење кола;;;1020;;Сметкопотврда;;;;0;;;;400;;-400;;;;18.02.2026;
;19;;;;;;;4190;;Сметкопотврда;;;;339;;;;0;;-61;;;;18.02.2026;
;20;;;;;;;130018;;Сметкопотврда;;;;61;;;;0;;0;;;;18.02.2026;
;21;0012;;;;;;1020;;Сметкопотврда;;;;0;;;;484;;-484;;;;24.02.2026;
;22;;;;;;;4001;;Сметкопотврда;;;;410;;;;0;;-74;;;;24.02.2026;
;23;;;;;;;130018;;Сметкопотврда;;;;74;;;;0;;0;;;;24.02.2026;
;24;0039;;;;;;1020;;Сметкопотврда;;;;0;;;;1.509;;-1.509;;;;24.02.2026;
;25;;;;;;;4013;;Сметкопотврда;;;;1.279;;;;0;;-230;;;;24.02.2026;
;26;;;;;;;130018;;Сметкопотврда;;;;230;;;;0;;0;;;;24.02.2026;
;27;639780;;;;;;1020;;Сметкопотврда;;;;0;;;;100;;-100;;;;24.02.2026;
;28;;;;;;;4141;;Сметкопотврда;;;;100;;;;0;;0;;;;24.02.2026;
;29;0020;;;;;;1020;;Сметкопотврда;;;;0;;;;440;;-440;;;;26.02.2026;
;30;;;;;;;4001;;Сметкопотврда;;;;373;;;;0;;-67;;;;26.02.2026;
;31;;;;;;;130018;;Сметкопотврда;;;;67;;;;0;;0;;;;26.02.2026;
;;;;;;;;;;;;;;;;;Должи:;;;;;12.288,00;;;
;;;;;;;;;;;;;;;;;Побарува:;;;;;12.288,00;;;
;;;;;;;;;;;;;;;;Салдо:;;;;;;0,00;;;
;;;;;;;;;ЕЛЕКТРО МЕ-НА ДООЕЛ, Ул.Благоја Стефковски бр. 111А, СКОПЈЕ-1000, MK4027011514030;;;;;;;;;;;;;;1/1;;
