Налог број:;;;;;;;7003;;;;;;;;;;;;;;;;;;
Датум:;;;;31.03.2026;;;;;;;;;;;;;;;;;;;;;
Опис:;;;;;;;;;;;;;;;;;;;;;;;;;
;Р.Бр.;;Број;;;Опис;;Сметка;;;Вид док.;;Партнер;;Должи;;;;Побарува;;Состојба;;;;Датум
;1;0187;;;;;;1020;;сметка;;;;0;;;;3.701;;-3.701;;;;02.03.2026;
;2;;;;;;;4032;;сметка;;;;3.137;;;;0;;-564;;;;02.03.2026;
;3;;;;;;;130018;;сметка;;;;564;;;;0;;0;;;;02.03.2026;
;4;0089;;;;;;1020;;сметка;;;;0;;;;2.000;;-2.000;;;;03.03.2026;
;5;;;;;;;4032;;сметка;;;;1.695;;;;0;;-305;;;;03.03.2026;
;6;;;;;;;130018;;сметка;;;;305;;;;0;;0;;;;03.03.2026;
;7;0066;;;;;;1020;;сметка;;;;0;;;;1.500;;-1.500;;;;04.03.2026;
;8;;;;;;;4032;;сметка;;;;1.271;;;;0;;-229;;;;04.03.2026;
;9;;;;;;;130018;;сметка;;;;229;;;;0;;0;;;;04.03.2026;
;10;0063;;;;;;1020;;сметка;;;;0;;;;2.001;;-2.001;;;;11.03.2026;
;11;;;;;;;4032;;сметка;;;;1.696;;;;0;;-305;;;;11.03.2026;
;12;;;;;;;130018;;сметка;;;;305;;;;0;;0;;;;11.03.2026;
;13;0029;;;;;;1020;;сметка;;;;0;;;;1.500;;-1.500;;;;13.03.2026;
;14;;;;;;;4032;;сметка;;;;1.271;;;;0;;-229;;;;13.03.2026;
;15;;;;;;;130018;;сметка;;;;229;;;;0;;0;;;;13.03.2026;
;16;0165;;;;;;1020;;сметка;;;;0;;;;2.000;;-2.000;;;;16.03.2026;
;17;;;;;;;4032;;сметка;;;;1.695;;;;0;;-305;;;;16.03.2026;
;18;;;;;;;130018;;сметка;;;;305;;;;0;;0;;;;16.03.2026;
;;;;;;;;;;;;;;;;;Должи:;;;;;12.702,00;;;
;;;;;;;;;;;;;;;;;Побарува:;;;;;12.702,00;;;
;;;;;;;;;;;;;;;;Салдо:;;;;;;0,00;;;
;;;;;;;;;ЕЛЕКТРО МЕ-НА ДООЕЛ, Ул.Благоја Стефковски бр. 111А, СКОПЈЕ-1000, MK4027011514030;;;;;;;;;;;;;;1/1;;
